step,elapsed_seconds,elapsed_hours,ambient_temp_c
175,52500,14.583333333333332,35.652
176,52800,14.666666666666666,35.59
177,53100,14.75,35.528
178,53400,14.833333333333332,35.465
179,53700,14.916666666666666,35.402
180,54000,15.0,35.34
181,54300,15.083333333333332,35.262
182,54600,15.166666666666666,35.185
183,54900,15.25,35.108
184,55200,15.333333333333332,35.03
185,55500,15.416666666666666,34.952
186,55800,15.5,34.875
187,56100,15.583333333333332,34.798
188,56400,15.666666666666666,34.72
189,56700,15.75,34.642
190,57000,15.833333333333332,34.565
191,57300,15.916666666666666,34.488
192,57600,16.0,34.41
193,57900,16.083333333333332,34.288
194,58200,16.166666666666664,34.167
195,58500,16.25,34.045
196,58800,16.333333333333332,33.923
197,59100,16.416666666666664,33.802
198,59400,16.5,33.68
199,59700,16.583333333333332,33.558
200,60000,16.666666666666664,33.437
201,60300,16.75,33.315
202,60600,16.833333333333332,33.193
203,60900,16.916666666666664,33.072
204,61200,17.0,32.95
205,61500,17.083333333333332,32.751
206,61800,17.166666666666664,32.552
207,62100,17.25,32.352
208,62400,17.333333333333332,32.153
209,62700,17.416666666666664,31.954
210,63000,17.5,31.755
211,63300,17.583333333333332,31.556
212,63600,17.666666666666664,31.357
213,63900,17.75,31.158
214,64200,17.833333333333332,30.958
215,64500,17.916666666666664,30.759
216,64800,18.0,30.56
217,65100,18.083333333333332,30.422
218,65400,18.166666666666664,30.283
219,65700,18.25,30.145
220,66000,18.333333333333332,30.007
221,66300,18.416666666666664,29.868
222,66600,18.5,29.73
223,66900,18.583333333333332,29.592
224,67200,18.666666666666664,29.453
225,67500,18.75,29.315
226,67800,18.833333333333332,29.177
227,68100,18.916666666666664,29.038
228,68400,19.0,28.9
229,68700,19.083333333333332,28.815
230,69000,19.166666666666664,28.73
231,69300,19.25,28.645
232,69600,19.333333333333332,28.56
233,69900,19.416666666666664,28.475
234,70200,19.5,28.39
235,70500,19.583333333333332,28.305
236,70800,19.666666666666664,28.22
237,71100,19.75,28.135
238,71400,19.833333333333332,28.05
239,71700,19.916666666666664,27.965
240,72000,20.0,27.88
241,72300,20.083333333333332,27.806
242,72600,20.166666666666664,27.732
243,72900,20.25,27.658
244,73200,20.333333333333332,27.583
245,73500,20.416666666666664,27.509
246,73800,20.5,27.435
