step,elapsed_seconds,elapsed_hours,workload,mem_util,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
0,0,0.0,0.16126976521322473,0.8713895543842837,16.126976521322472,87.13895543842837,34.88905126976521,27.657513176808816,4.08672735984667
1,300,0.08333333333333333,0.18466110019646365,0.8685805500982319,18.466110019646365,86.85805500982319,34.91289292730845,27.67293222003929,4.193025540275049
2,600,0.16666666666666666,0.30822523881347413,0.8998843640020111,30.82252388134741,89.98843640020111,34.93012066365007,27.658255404725992,5.992458521870287
3,900,0.25,0.24656326932545544,0.8682373215164944,24.656326932545543,86.82373215164944,34.950142786804534,27.6681388478582,4.225997045790251
4,1200,0.3333333333333333,0.301752427184466,0.8912621359223302,30.1752427184466,89.12621359223301,34.994995145631066,27.727184466019416,5.046601941747573
5,1500,0.4166666666666667,0.26753861003861007,0.8898600386100387,26.753861003861005,88.98600386100387,34.943933397683395,27.66719111969112,3.7963320463320462
6,1800,0.5,0.28384649910233395,0.8962971274685817,28.384649910233392,89.62971274685817,34.966458707360864,27.701754937163376,3.881508078994614
7,2100,0.5833333333333334,0.2405501618122977,0.8570226537216828,24.05501618122977,85.70226537216828,34.92552473416551,27.655376791493296,3.6486361534905214
8,2400,0.6666666666666666,0.23007543611504008,0.8526968411126827,23.00754361150401,85.26968411126828,34.89159830268741,27.62986798679868,3.7463460631777465
9,2700,0.75,0.2427005347593583,0.8603520499108734,24.27005347593583,86.03520499108734,34.85072192513369,27.588547237076646,6.390374331550802
10,3000,0.8333333333333334,0.26919127086007705,0.8676636713735558,26.919127086007705,86.76636713735559,34.76743260590501,27.50197047496791,5.72785622593068
11,3300,0.9166666666666666,0.19287894201424208,0.8565615462868769,19.28789420142421,85.65615462868769,34.700788402848424,27.493448626653105,3.314343845371312
12,3600,1.0,0.18782229965156794,0.8761498257839722,18.782229965156795,87.61498257839722,34.82201655052265,27.56684668989547,3.323170731707317
13,3900,1.0833333333333333,0.2603927911275416,0.9022597042513865,26.03927911275416,90.22597042513864,34.76461182994454,27.506783733826246,3.878927911275416
14,4200,1.1666666666666667,0.20733182844243792,0.8654627539503386,20.733182844243792,86.54627539503386,34.91886230248307,27.670121896162527,3.496162528216704
15,4500,1.25,0.1682636655948553,0.8493752870923289,16.826366559485532,84.9375287092329,34.92891134588884,27.688690858980248,3.5291685806155257
16,4800,1.3333333333333333,0.4189963167587477,0.9117771639042356,41.89963167587477,91.17771639042356,34.92110497237569,27.66950276243094,5.976979742173112
17,5100,1.4166666666666667,0.3327783400809717,0.8336285425101215,33.277834008097166,83.36285425101215,34.968532388663974,27.693780364372472,5.946862348178137
18,5400,1.5,0.3388007054673722,0.839620811287478,33.880070546737215,83.9620811287478,34.93266754850088,27.66261463844797,5.1168430335097
19,5700,1.5833333333333333,0.34930326038410003,0.8471237159446181,34.93032603841,84.71237159446181,34.90223313979455,27.63164805716838,4.905314872711032
20,6000,1.6666666666666667,0.2777925531914894,0.8217375886524824,27.779255319148938,82.17375886524823,34.944370567375884,27.701347517730497,4.87854609929078
21,6300,1.75,0.2994548962855765,0.8225084418716836,29.945489628557645,82.25084418716835,34.87211287988423,27.64652677279305,5.6647370959961405
22,6600,1.8333333333333333,0.27870821295914155,0.8458893933140734,27.870821295914155,84.58893933140735,35.03648782501032,27.76401568303756,4.372678497730087
23,6900,1.9166666666666667,0.2805938937682978,0.8356001672940192,28.059389376829778,83.56001672940192,35.12426599749059,27.830970305311588,4.162275198661648
24,7200,2.0,0.24968697829716194,0.8377754590984975,24.968697829716195,83.77754590984975,35.08494156928214,27.79606844741236,5.205759599332221
25,7500,2.0833333333333335,0.29967560553633216,0.8438970588235294,29.967560553633216,84.38970588235294,35.07533737024221,27.78567474048443,4.842993079584775
26,7800,2.1666666666666665,0.2570418410041841,0.8432970711297071,25.70418410041841,84.32970711297071,35.01842259414226,27.733598326359832,5.561087866108787
27,8100,2.25,0.3227849185946872,0.8540274207369323,32.27849185946872,85.40274207369323,35.04187660668381,27.733131962296486,4.69280205655527
28,8400,2.3333333333333335,0.30994342906875544,0.8203089643167972,30.994342906875545,82.03089643167972,35.06987815491732,27.759429939077457,5.862489120974761
29,8700,2.4166666666666665,0.25661977658254037,0.8175341332230037,25.661977658254035,81.75341332230037,34.934989656599086,27.656868018204385,9.586263963591229
30,9000,2.5,0.26594760540319284,0.8122267703643062,26.59476054031928,81.22267703643062,35.08999181334425,27.80754809660253,4.538681948424069
31,9300,2.5833333333333335,0.2727529021558872,0.8142039800995025,27.27529021558872,81.42039800995025,35.12934494195688,27.830638474295192,4.514925373134329
32,9600,2.6666666666666665,0.25598511383537653,0.8142556917688266,25.59851138353765,81.42556917688266,35.17005253940455,27.84299912434325,6.915061295971979
33,9900,2.75,0.254783950617284,0.8178034979423869,25.4783950617284,81.78034979423869,35.182109053497946,27.84227366255144,4.776748971193416
34,10200,2.8333333333333335,0.28775630252100837,0.8023361344537815,28.77563025210084,80.23361344537815,35.15096638655462,27.842613445378152,4.020168067226891
35,10500,2.9166666666666665,0.2479253112033195,0.818210580912863,24.79253112033195,81.8210580912863,35.16419087136929,27.839133817427385,3.798236514522821
36,10800,3.0,0.25983185427370387,0.8219663708547408,25.983185427370387,82.19663708547408,35.10609528257823,27.817781410555817,4.023353573096684
37,11100,3.0833333333333335,0.3193939393939394,0.8551270772238514,31.939393939393938,85.51270772238514,35.090092864125126,27.815596285435,6.470185728250244
38,11400,3.1666666666666665,0.2888357256778309,0.8405741626794259,28.88357256778309,84.05741626794259,35.090079744816585,27.807799043062204,4.292663476874004
39,11700,3.25,0.24855703160787906,0.8152313330279433,24.855703160787908,81.52313330279432,35.09628950984883,27.78828218048557,5.0728355474118185
40,12000,3.3333333333333335,0.23320770877944327,0.8157044967880086,23.320770877944327,81.57044967880086,35.197798715203426,27.909297644539613,7.720770877944325
41,12300,3.4166666666666665,0.32743589743589746,0.8401410256410256,32.743589743589745,84.01410256410256,35.181970085470084,27.91749145299145,4.429059829059829
42,12600,3.5,0.3033673469387756,0.8459405501330967,30.33673469387756,84.59405501330967,35.188416149068324,27.91250221827861,4.991126885536824
43,12900,3.5833333333333335,0.22265221017514594,0.8116763969974978,22.265221017514595,81.16763969974978,35.11792743953294,27.8523894912427,5.810258548790659
44,13200,3.6666666666666665,0.32015638207945896,0.8228740490278952,32.0156382079459,82.28740490278952,35.0517371090448,27.791910397295013,4.60101437024514
45,13500,3.75,0.2861437335670465,0.840350569675723,28.614373356704647,84.0350569675723,35.095578439964946,27.76573181419808,6.120508326029799
46,13800,3.8333333333333335,0.31630366900858703,0.8570335675253707,31.630366900858704,85.70335675253708,34.99667056986729,27.697962529274,4.116705698672912
47,14100,3.9166666666666665,0.29514810179390905,0.850066750104297,29.514810179390903,85.0066750104297,34.980095953274926,27.679449311639548,5.725907384230288
48,14400,4.0,0.2946761984861228,0.8632758620689656,29.46761984861228,86.32758620689656,35.00130782169891,27.67864592094197,4.7026913372582
49,14700,4.083333333333333,0.4068101265822785,0.8611223628691982,40.68101265822785,86.11223628691982,35.042978902953585,27.692,10.745569620253164
50,15000,4.166666666666667,0.32858018867924527,0.8508820754716981,32.85801886792453,85.08820754716982,35.09818867924528,27.72652358490566,7.960849056603774
51,15300,4.25,0.2966072205306655,0.8574989125706829,29.66072205306655,85.74989125706828,35.08709873858199,27.733101348412355,6.136146150500218
52,15600,4.333333333333333,0.2645504664970314,0.8519847328244274,26.45504664970314,85.19847328244275,35.06519083969466,27.72691263782867,6.4245122985581
53,15900,4.416666666666667,0.23537955243527864,0.8562132514260641,23.537955243527865,85.62132514260641,35.21236068451075,27.84462044756472,5.28872312417727
54,16200,4.5,0.2438527551942186,0.8482475158084913,24.38527551942186,84.82475158084914,35.28042457091237,27.8929945799458,4.835591689250226
55,16500,4.583333333333333,0.23105179282868527,0.8495179282868526,23.105179282868527,84.95179282868526,35.24643027888446,27.8585577689243,4.021115537848606
56,16800,4.666666666666667,0.2487864077669903,0.8512014563106796,24.87864077669903,85.12014563106796,35.24210355987055,27.87943365695793,4.406957928802589
57,17100,4.75,0.23471465076660988,0.8434114139693356,23.471465076660987,84.34114139693357,35.20951873935264,27.84800681431005,4.038756388415673
58,17400,4.833333333333333,0.37238621299160407,0.8731153336279276,37.23862129916041,87.31153336279276,35.200830755634115,27.8536809544852,5.649138311975254
59,17700,4.916666666666667,0.2673737373737374,0.8626306543697848,26.737373737373737,86.26306543697848,35.12595959595959,27.811537110232763,4.2854633289415895
60,18000,5.0,0.26266666666666666,0.8557064676616915,26.266666666666666,85.57064676616915,35.156278606965174,27.816771144278608,6.511940298507462
61,18300,5.083333333333333,0.29521146616541355,0.8652302631578948,29.521146616541355,86.52302631578948,35.1083787593985,27.777998120300754,4.652725563909774
62,18600,5.166666666666667,0.2872980972515856,0.8635137420718816,28.729809725158564,86.35137420718816,35.1482156448203,27.82033403805497,5.3171247357293865
63,18900,5.25,0.26536707706338347,0.8538075695394437,26.536707706338348,85.38075695394437,35.13515731874145,27.827095303237574,3.817145462836297
64,19200,5.333333333333333,0.24703655352480416,0.8485073977371627,24.703655352480418,84.85073977371627,35.107362924281986,27.802619669277632,4.221932114882507
65,19500,5.416666666666667,0.3753561643835617,0.8492648401826485,37.535616438356165,84.92648401826484,35.21062557077626,27.88223287671233,13.333333333333334
66,19800,5.5,0.34957341269841274,0.8671527777777777,34.95734126984127,86.71527777777777,35.16668154761905,27.849231150793653,8.551587301587302
67,20100,5.583333333333333,0.4412482202183199,0.8700616990982439,44.12482202183199,87.0061699098244,35.1422164214523,27.79909824394874,16.66065495965828
68,20400,5.666666666666667,0.5133121597096189,0.8859392014519056,51.331215970961885,88.59392014519057,35.16557168784029,27.8113112522686,15.64065335753176
69,20700,5.75,0.46561274509803924,0.8845098039215686,46.56127450980392,88.45098039215686,35.14755392156862,27.78922058823529,10.015196078431371
70,21000,5.833333333333333,0.4908038277511962,0.8824593301435406,49.08038277511962,88.24593301435407,35.129382775119616,27.726296650717703,10.595215311004784
71,21300,5.916666666666667,0.3973809523809524,0.8618285714285715,39.73809523809524,86.18285714285715,34.93894761904762,27.580242857142856,7.991428571428571
72,21600,6.0,0.354913067863152,0.8579304542905216,35.4913067863152,85.79304542905216,35.08066741446999,27.68718452047112,5.352776219854178
73,21900,6.083333333333333,0.5471858774662514,0.8826479750778816,54.71858774662513,88.26479750778816,34.92178608515057,27.5404984423676,11.0742471443406
74,22200,6.166666666666667,0.47227161700048853,0.8619980459208598,47.22716170004885,86.19980459208598,34.90536394723986,27.56209574987787,7.669760625305325
75,22500,6.25,0.6860312944523471,0.9022143195827408,68.60312944523471,90.22143195827408,34.98501185395922,27.617842579421527,8.13750592697961
76,22800,6.333333333333333,0.7681328379006038,0.8981096144914074,76.81328379006038,89.81096144914073,35.21824895494659,27.811003251277285,7.650719925685091
77,23100,6.416666666666667,0.5583992805755397,0.8698111510791366,55.83992805755396,86.98111510791367,35.19786420863309,27.80200539568345,6.078687050359712
78,23400,6.5,0.5659979838709678,0.8807510080645161,56.599798387096776,88.07510080645162,35.044082661290325,27.64257056451613,8.022177419354838
79,23700,6.583333333333333,0.5505916230366492,0.8819109947643979,55.05916230366492,88.19109947643979,35.11378010471205,27.719759162303664,8.243455497382199
80,24000,6.666666666666667,0.5296057171020206,0.8860078856579595,52.96057171020207,88.60078856579595,35.125303104977824,27.74051256776737,8.381961557417448
81,24300,6.75,0.514110127826942,0.8867010816125861,51.4110127826942,88.67010816125861,34.936086529006886,27.612994100294987,9.280727630285153
82,24600,6.833333333333333,0.5346999076638965,0.8861819021237304,53.46999076638966,88.61819021237304,35.052802400738685,27.721098799630656,10.30517082179132
83,24900,6.916666666666667,0.44816055045871556,0.870711009174312,44.81605504587156,87.0711009174312,34.91140825688073,27.571146788990823,9.897706422018349
84,25200,7.0,0.37845386533665837,0.8219451371571073,37.84538653366584,82.19451371571073,35.008359102244384,27.675775561097257,7.534164588528678
85,25500,7.083333333333333,0.4461240694789082,0.8357369727047147,44.61240694789082,83.57369727047147,35.04495285359802,27.707975186104218,9.700248138957816
86,25800,7.166666666666667,0.42971976401179934,0.8229252704031466,42.97197640117994,82.29252704031465,34.823397246804326,27.504882005899702,10.308751229105212
87,26100,7.25,0.41058728448275866,0.8397521551724139,41.058728448275865,83.97521551724138,34.957553879310346,27.614358836206897,10.533405172413794
88,26400,7.333333333333333,0.4073915237134208,0.8413572149344097,40.73915237134208,84.13572149344097,34.882502522704335,27.529323915237136,6.303733602421796
89,26700,7.416666666666667,0.3965672306322351,0.8479964381121995,39.65672306322351,84.79964381121995,35.00903829029386,27.647395369545865,6.904719501335708
90,27000,7.5,0.4760935412026726,0.88456570155902,47.60935412026726,88.456570155902,34.98070378619153,27.686040089086863,4.742093541202673
91,27300,7.583333333333333,0.36832703213610585,0.8552930056710776,36.832703213610586,85.52930056710775,35.14667769376181,27.77691398865784,4.803875236294896
92,27600,7.666666666666667,0.38488733099649475,0.8707811717576365,38.48873309964947,87.07811717576365,35.14094141211818,27.78930896344517,5.954431647471207
93,27900,7.75,0.3234363117870723,0.8358460076045627,32.34363117870723,83.58460076045627,35.03805133079848,27.703179657794674,5.344106463878327
94,28200,7.833333333333333,0.3082017167381974,0.8353261802575108,30.820171673819743,83.53261802575108,35.0966652360515,27.730630901287554,6.067381974248927
95,28500,7.916666666666667,0.3602222222222223,0.8482054507337525,36.022222222222226,84.82054507337526,35.09632704402516,27.72078825995808,10.292243186582809
96,28800,8.0,0.3789376344086021,0.8757720430107527,37.89376344086021,87.57720430107527,35.118352688172045,27.745578494623658,8.948387096774194
97,29100,8.083333333333334,0.47752452125175154,0.8588510042036431,47.752452125175154,85.88510042036431,35.14720224194302,27.762442783745914,9.589911256422232
98,29400,8.166666666666666,0.4073861720067454,0.8507841483979764,40.73861720067454,85.07841483979765,35.15344856661045,27.77941821247892,8.788364249578414
99,29700,8.25,0.45750649350649364,0.846952380952381,45.75064935064936,84.6952380952381,35.24967965367965,27.849818181818183,6.866233766233767
100,30000,8.333333333333334,0.4252633679169992,0.8424341580207502,42.52633679169992,84.24341580207502,35.216472466081406,27.818016759776537,9.364724660814046
101,30300,8.416666666666666,0.46470893141945774,0.8666746411483254,46.47089314194577,86.66746411483254,35.19774720893142,27.811917862838914,11.880382775119616
102,30600,8.5,0.44068912117692605,0.8591831204026326,44.068912117692605,85.91831204026326,35.16670150987224,27.796364692218347,7.950058072009291
103,30900,8.583333333333334,0.35203112840466927,0.8239610894941635,35.20311284046693,82.39610894941634,35.13264980544747,27.77917898832685,6.51556420233463
104,31200,8.666666666666666,0.4029727531516877,0.8395892639284261,40.29727531516877,83.95892639284261,35.20037413582757,27.822350549003666,6.065473769825132
105,31500,8.75,0.4238774617067833,0.8286914660831509,42.387746170678334,82.86914660831509,35.12084463894968,27.7696761487965,6.578993435448577
106,31800,8.833333333333334,0.35573581115017583,0.8288498242089402,35.57358111501758,82.88498242089402,35.20034153691613,27.829331993972875,5.343043696634857
107,32100,8.916666666666666,0.38011555555555554,0.8372577777777778,38.01155555555555,83.72577777777778,35.18434222222223,27.81220888888889,4.831111111111111
108,32400,9.0,0.35103202846975085,0.8294572953736654,35.10320284697509,82.94572953736655,35.109181494661925,27.750809608540926,4.7161921708185055
109,32700,9.083333333333334,0.4203774385072095,0.8303944020356233,42.03774385072095,83.03944020356234,35.1963401187447,27.817086513994912,5.952078032230704
110,33000,9.166666666666666,0.45473498233215554,0.8471908127208481,45.47349823321555,84.71908127208481,35.20134717314488,27.82055653710248,4.961572438162544
111,33300,9.25,0.3642971718024483,0.8245799915576193,36.42971718024483,82.45799915576193,35.22590966652596,27.852097931616715,5.3575348248206
