step,elapsed_seconds,elapsed_hours,workload,avg_cpu,avg_mem,avg_assigned_mem,avg_cycles_per_instruction
0,0,0.0,0.4416155843647663,0.4416155843647663,0.332384265123427,0.6240159650328806,148.61760667191493
1,300,0.08333333333333333,0.4331291456739953,0.4331291456739953,0.3267033332066497,0.6157454793807767,148.20622256465344
2,600,0.16666666666666666,0.4113634119105891,0.4113634119105891,0.3234448889340802,0.607362785727712,146.5902436980596
3,900,0.25,0.4080454185167151,0.4080454185167151,0.3270512411916694,0.6095300177182588,147.0946616598521
4,1200,0.3333333333333333,0.4168118711883127,0.4168118711883127,0.3336677940626482,0.6135335735269808,149.08209455966127
5,1500,0.4166666666666667,0.4114690532612257,0.4114690532612257,0.3344932817592017,0.6162740895970356,150.7852895985633
6,1800,0.5,0.4212163233336636,0.4212163233336636,0.3355708625714983,0.6145865271613935,150.4608626709421
7,2100,0.5833333333333334,0.4193632940000891,0.4193632940000891,0.3331218649618382,0.6136407494845278,149.15359951799095
8,2400,0.6666666666666666,0.4371932534787153,0.4371932534787153,0.3325772107298093,0.6138037186926125,148.82803195963567
9,2700,0.75,0.4365900130546631,0.4365900130546631,0.3333073378935337,0.616398864883808,148.81083254269245
10,3000,0.8333333333333334,0.4297287562972089,0.4297287562972089,0.3374339920461867,0.6185237487399059,148.33500287953262
11,3300,0.9166666666666666,0.4248711232737619,0.4248711232737619,0.3420230003197573,0.617342978543846,147.35678166294795
12,3600,1.0,0.4204086362564914,0.4204086362564914,0.3385442203078127,0.6136731700072479,147.13487762005255
13,3900,1.0833333333333333,0.4066144932627573,0.4066144932627573,0.3372353548567211,0.6125900159855038,147.19446732886914
14,4200,1.1666666666666667,0.4090215927607657,0.4090215927607657,0.3377864138605619,0.6117080715301177,146.97900385628105
15,4500,1.25,0.4094430933071726,0.4094430933071726,0.337838181521392,0.6109178866821571,147.33202678604846
16,4800,1.3333333333333333,0.4076724734054104,0.4076724734054104,0.336434689917352,0.6113277608661672,146.88526145364872
17,5100,1.4166666666666667,0.4123568741040113,0.4123568741040113,0.3372427169061524,0.6128145647489371,147.16133935349794
18,5400,1.5,0.4179233141449899,0.4179233141449899,0.3353248573370473,0.6118979687254329,147.24121951453247
19,5700,1.5833333333333333,0.4074140840173267,0.4074140840173267,0.335076265531264,0.6089981224835175,146.1048788608952
20,6000,1.6666666666666667,0.4131184470042971,0.4131184470042971,0.3362759610968008,0.6082009592544713,145.9058898330634
21,6300,1.75,0.4124137136015191,0.4124137136015191,0.3367193561121204,0.6070377894495738,145.72472197602718
22,6600,1.8333333333333333,0.4149978218154676,0.4149978218154676,0.3363325128226028,0.6019587906601148,144.76093771487012
23,6900,1.9166666666666667,0.411967675950347,0.411967675950347,0.3357138471095984,0.6006806642114221,144.3667143647661
24,7200,2.0,0.4262260137168271,0.4262260137168271,0.3349115861301618,0.5994480967534178,144.0774867727972
25,7500,2.0833333333333335,0.4071672871726078,0.4071672871726078,0.3325258703969408,0.5999587070330186,143.5461210433205
26,7800,2.1666666666666665,0.3873571449317443,0.3873571449317443,0.3276830514689071,0.5973392663315744,141.63324564588083
27,8100,2.25,0.3736667522967253,0.3736667522967253,0.3235786423776737,0.5967388641472736,141.82030547678303
28,8400,2.3333333333333335,0.3836557404316985,0.3836557404316985,0.3262066897165109,0.5990774635002725,144.96323416028835
29,8700,2.4166666666666665,0.3927341252033752,0.3927341252033752,0.3239484115512519,0.6012977210822424,149.54027945995315
30,9000,2.5,0.3946014258193562,0.3946014258193562,0.3260747650362639,0.6006106746909754,150.56791276751457
31,9300,2.5833333333333335,0.390859413647326,0.390859413647326,0.3280455447193955,0.6042692440629347,149.41122447353422
32,9600,2.6666666666666665,0.4061683886797851,0.4061683886797851,0.3300350089717764,0.6053117052233586,149.64645809009974
33,9900,2.75,0.4057880687073027,0.4057880687073027,0.3329759056482072,0.6054665172530472,149.37103584116414
34,10200,2.8333333333333335,0.4141178057035604,0.4141178057035604,0.3335666590433584,0.6051378346210156,148.13172160179076
35,10500,2.9166666666666665,0.4211188486701395,0.4211188486701395,0.3306847504464434,0.6044724018607783,147.45984650954983
36,10800,3.0,0.4015305976775593,0.4015305976775593,0.3258882751368768,0.6041919610372483,146.6610602086642
37,11100,3.0833333333333335,0.396507672015537,0.396507672015537,0.3254317615800067,0.6034410578567331,146.69737786345823
38,11400,3.1666666666666665,0.3997065243584404,0.3997065243584404,0.3200735930243555,0.5986142727470238,146.4013363782856
39,11700,3.25,0.3774909407685418,0.3774909407685418,0.3209400913600017,0.601010524935107,147.56785138589547
40,12000,3.3333333333333335,0.3967945382307079,0.3967945382307079,0.325457910411018,0.6052322538817984,148.7511684026548
41,12300,3.4166666666666665,0.4022157774953364,0.4022157774953364,0.3315228640263787,0.6080196327372014,150.35946174163354
42,12600,3.5,0.407621427502583,0.407621427502583,0.333387086243577,0.6076943661436265,150.34417308037646
43,12900,3.5833333333333335,0.412837460454132,0.412837460454132,0.3338892145364032,0.6061750419593499,150.32707637387963
44,13200,3.6666666666666665,0.4133428304790136,0.4133428304790136,0.3321405965817249,0.6041804093580996,149.29666822731556
45,13500,3.75,0.393604860998421,0.393604860998421,0.3308555259112058,0.602210273270244,148.70856015961195
46,13800,3.8333333333333335,0.4045843880883193,0.4045843880883193,0.3289218824716496,0.6024807159085894,149.3719823257728
47,14100,3.9166666666666665,0.3966877369396235,0.3966877369396235,0.3285675990691613,0.6026803242069242,150.35142884459896
48,14400,4.0,0.3985013102914524,0.3985013102914524,0.3278568793759589,0.6016057190545238,149.39328347081815
49,14700,4.083333333333333,0.3947518371617275,0.3947518371617275,0.3265249735412876,0.6012222887249219,149.00861484806234
50,15000,4.166666666666667,0.4153548830402283,0.4153548830402283,0.3292659896447033,0.6018164781439136,147.4132576086772
51,15300,4.25,0.3894931596378375,0.3894931596378375,0.3251897510718775,0.5987116807439611,148.12088483376493
52,15600,4.333333333333333,0.4057720215379327,0.4057720215379327,0.3238856104592568,0.5990801448360256,149.1225127742511
53,15900,4.416666666666667,0.4030690176009324,0.4030690176009324,0.3247842022242666,0.5997044988629759,148.93210491943043
54,16200,4.5,0.4141774101193022,0.4141774101193022,0.3270068153569428,0.5987014184759686,147.3416803406545
55,16500,4.583333333333333,0.4045644045301728,0.4045644045301728,0.3278929164501517,0.6020649205257614,146.85955093640476
56,16800,4.666666666666667,0.4149059531094826,0.4149059531094826,0.3300330637634227,0.6024670150931425,145.95959699096542
57,17100,4.75,0.3991846094805171,0.3991846094805171,0.3288023023624363,0.6008592327106326,145.79298771670662
58,17400,4.833333333333333,0.3942880007857055,0.3942880007857055,0.326231396109432,0.5965774028013685,143.9021938718952
59,17700,4.916666666666667,0.3858027634352419,0.3858027634352419,0.3216696872519013,0.5954567559319911,144.8272743575848
60,18000,5.0,0.3976605271812642,0.3976605271812642,0.3250450909788313,0.5979552190910357,145.97413899378054
61,18300,5.083333333333333,0.3840610053289773,0.3840610053289773,0.3256136095510068,0.6009029354593164,147.45033304956206
62,18600,5.166666666666667,0.4062575826516779,0.4062575826516779,0.3270494313324134,0.5982766776000814,144.9118536201584
63,18900,5.25,0.4121951994827875,0.4121951994827875,0.3304797589128307,0.6002634400384548,144.52195677891865
64,19200,5.333333333333333,0.4196624849955503,0.4196624849955503,0.3281255022130835,0.6007553715013662,144.4737343554233
65,19500,5.416666666666667,0.408168014629673,0.408168014629673,0.3279147322810785,0.6004340095836332,145.0000226763841
66,19800,5.5,0.4205408085302218,0.4205408085302218,0.3268758065680266,0.6011673926406197,144.9770085347405
67,20100,5.583333333333333,0.4057379076138113,0.4057379076138113,0.3292710488390454,0.5991685769240234,144.6849030830784
68,20400,5.666666666666667,0.409701653499646,0.409701653499646,0.3280574990940167,0.5986121699396952,144.11773630323296
69,20700,5.75,0.409460097673318,0.409460097673318,0.3281827303729998,0.5997994685425739,144.2063922346036
70,21000,5.833333333333333,0.4185935327796319,0.4185935327796319,0.3269122232106262,0.6004001996939801,144.48513635633844
71,21300,5.916666666666667,0.4061440904088688,0.4061440904088688,0.3299692192762195,0.6020494082352071,144.9400151077255
72,21600,6.0,0.4210000074676628,0.4210000074676628,0.3331819493868926,0.604037696785536,145.93849582176813
73,21900,6.083333333333333,0.4127907436700745,0.4127907436700745,0.3339512604409961,0.6028868184181718,146.9250450593791
74,22200,6.166666666666667,0.4113212917318659,0.4113212917318659,0.3335702660727048,0.6020380260937087,147.41347225448382
75,22500,6.25,0.4022628210914245,0.4022628210914245,0.3301373646984631,0.600424546962245,146.4456121843521
76,22800,6.333333333333333,0.4031354447003604,0.4031354447003604,0.3280596175140249,0.6008521828725016,145.68327168955994
77,23100,6.416666666666667,0.4149585864591201,0.4149585864591201,0.3300402454444682,0.6022002282904757,146.06849099675998
78,23400,6.5,0.3954171411812719,0.3954171411812719,0.3296463278110805,0.6008867056025251,145.3994178813488
79,23700,6.583333333333333,0.4064172152670245,0.4064172152670245,0.3278218153353955,0.6017629277332113,146.49832389434653
80,24000,6.666666666666667,0.4230417571014704,0.4230417571014704,0.3319132922702176,0.6007169387650638,146.59721741733244
81,24300,6.75,0.4178838377205444,0.4178838377205444,0.3330390680295976,0.6040491571643026,146.6244585554727
82,24600,6.833333333333333,0.4232952407248179,0.4232952407248179,0.3341871267645347,0.6032304534952444,146.1391761615678
83,24900,6.916666666666667,0.4284103395977477,0.4284103395977477,0.3324575594799771,0.6008657613128197,145.66145119503935
84,25200,7.0,0.4319216736820356,0.4319216736820356,0.3326920595943959,0.5998015073025635,145.32472892156093
85,25500,7.083333333333333,0.4187145902806986,0.4187145902806986,0.3296747565193738,0.5972031964207313,144.49666906129804
86,25800,7.166666666666667,0.395521574054653,0.395521574054653,0.3240687795230628,0.5984632515851841,144.33254895710604
87,26100,7.25,0.4030307168907193,0.4030307168907193,0.3263060501981706,0.6027055518379659,144.90543075013275
88,26400,7.333333333333333,0.3943518555945618,0.3943518555945618,0.3247741496588151,0.6048833761356341,146.76811655952935
